text,label
swiggy 200,Food
uber ride to work,Transport
elec bill paid 1200,Utilities
watchin movie @ cinema.. cost me 500,Entertainment
shopped @ mall for 3k,Shopping
dentist appt 800,Health
paid plumber 300 to fix sink,Home
fuel fillup.. 1000 bucks,Transport
groceriez @ store 550,Food
amazon delivery.. total 2899,Shopping
gym membership renewal 3999,Health
water bill payment.. done 500,Utilities
concert tix.. so exo 2500,Entertainment
cab fare 2 am.. 350,Transport
ordered dominoz.. spent 420,Food
movie nite @ home.. rented for 200,Entertainment
online shoppin 1200,Shopping
got medcin from pharmacy.. 150,Health
internet bill pay.. paid 899,Utilities
booked ola 4 times.. total 720,Transport
bought snacks @ store 4 150,Food
UBER-45.. ride to station,Transport
rent paid.. 22000,Home
petrol pump visit.. 1100,Transport
buyin grocery online 999,Food
doctrs fee 4 checkup 1000,Health
buyin phone case 299,Shopping
bought flowers @ shop.. no idea how much,Shopping
paid for food @ restaurent,Food
movie streaming subscription 799,Entertainment
gas bill paid.. dont no amt,Utilities
paid driver 4 ride 2 airport 1500,Transport
bought clothes @ mall 4 2500,Shopping
paid 4 hair cut 300,Health
bougth home decor itemz 4 1200,Home
grocereez from big basket 899,Food
paid my elec bill,Utilities
playin pool @ game zone.. spent 200,Entertainment
booked hotel room 4 night.. 5000,Home
buyin new shoes 4 2000,Shopping
fuel tank full.. 1500,Transport
paid tuition fees 4 course 20000,Education
bought phone accesories 4 400,Shopping
paid 4 medical test 2500,Health
buyin food @ restraunt.. spent 600,Food
car maintenance cost 3000,Transport
water purifier filter change 1200,Home
paid my mobile bill 4 this month 500,Utilities
travel ticket booking.. spent 8000,Transport
buyin bookz @ store 4 300,Shopping
doctrs consulatation fee 500,Health
bougth home cleaning itemz 4 500,Home
buyin grocery itemz 4 400,Food
game zone visit.. spent 1000,Entertainment
rent 4 room 4 2 monthz 18000,Home
fuel cost 4 trip 2500,Transport
buyin clothes 4 300,Shopping
paid driver 4 ride 1000,Transport
bought food 4 party.. spent 2000,Food
car insurance renewal 4000,Transport
buyin new bag 4 1000,Shopping
paid 4 haircut 4 her 400,Health
bougth decoration itemz 4 home 4 600,Home
paid plumber 4 fixin leak 800,Home
food @ restaurent.. no idea how much,Food
buyin accesories 4 phone 4 200,Shopping
paid doctor 4 chekup 600,Health
bought ticketz 4 concert 4 3000,Entertainment
paid driver 4 ride 2 mall 300,Transport
bougth home cleanin itemz 4 800,Home
buyin grocery online 4 1500,Food
paid 4 test 4 medical checkup 1000,Health
buyin new watch 4 2500,Shopping
